Name of Project,Funding Partner,Implementing Partner Name ,Currency,Total Value,Start Date,Estimated End Date,Did Partner specify districts?,Maputo City,Maputo Province,Gaza,Inhambane,Manica,Sofala,Tete,Zambezia,Cabo Delgado,Nampula,Niassa,Notes,URL,Contact,Last Modified,Total Value (USD),Unique Project Name
Health Systems Strengthening (HSS2),Gavi,MISAU; INS; UNICEF,USD,30980198,2021,2025,Yes,,"Manhiça,Matola",Limpopo,Massinga,"Chimoio,Barue,Manica,Vanduzi,Mossurize,Gondola","Gorongosa,Maringué,Caia,Marromeu,Nhamatanda","Tete,Tsangano,Angonia,Macanga,Marávia,Doa,Chiuta","Quelimane,Gilé,Gurué,Lugela,Milange,Morrumbala,Derre,Alto Molocue,Inhassunge,Nicoadala,Ile","Chiúre,Mueda,Balama,Macomia,Montepuez,Namuno,Ancuabe","Memba,Mogincual,Monapo,Muecate,Nacala-Porto,Eráti,Malema,Moma,Ribáue,Liupo,Lalaua,Meconta,Nacala-a-Velha,Nacaroa,Murrupula","Cuamba,Mandimba,Mecanhelas,N'gauma,Chimbonila,Metarica","HSS 2 support has 3 main strategic objectives:
1. Ensure functioning of the supply chain to ensure vaccines are available on time at all levels; Cold chain optimisation
2. Establish effective leadership and management
3. Reduce the incidence of Vaccine Preventable Diseases through consistently good quality immunisation services; creating demand to reach coverage targets

Support is concentrated in 63 priority districts",,,11/26/2024 9:23am,30980198.0,Health Systems Strengthening (HSS2) -- MISAU; INS; UNICEF
Targeted Country Assistance (TCA),Gavi,UNICEF; WHO; Acasus; VillageReach; JSI; CHAI; Zenysis; Saudigitus; JHPiego,USD,4270193,2022,2025,No,,,,,,,,,,,,Technical assistance for EPI to support HSS objectives,,,5/22/2024 3:39pm,4270193.0,Targeted Country Assistance (TCA) -- UNICEF; WHO; Acasus; VillageReach; JSI; CHAI; Zenysis; Saudigitus; JHPiego
Covid-19 Delivery Support Third Window (CDS3),Gavi,MISAU; UNICEF; WHO; Acasus; JSI; VillageReach; Zenysis; Saudigitus,USD,12400000,2023,2025,No,,,,,,,,,,,,"CDS3 objectives:
1. To support acceleration of C19 vaccination of high & highest risk populations
2. To support rapid delivery scale-up to reach country targets for adult vaccination
3. To support integration of C19 and Routine Immunisation to achieve sustainable benefits",,,5/22/2024 3:44pm,12400000.0,Covid-19 Delivery Support Third Window (CDS3) -- MISAU; UNICEF; WHO; Acasus; JSI; VillageReach; Zenysis; Saudigitus
Covid-19 Delivery Support Early Access Window (CDS EAW),Gavi,MISAU; UNICEF; WHO; VilageReach; Acasus,USD,3422310,2021,2023,No,,,,,,,,,,,,Funding for priority activities essential for immediate vaccine deployment and scale-up preparations for C19,,,5/22/2024 3:48pm,3422310.0,Covid-19 Delivery Support Early Access Window (CDS EAW) -- MISAU; UNICEF; WHO; VilageReach; Acasus
Covid-19 Delivery Support Needs-Based Funding (CDS NBF),Gavi,MISAU; UNICEF; WHO; VillageReach,USD,7226851,2022,2023,No,,,,,,,,,,,,Needs-based funding for scale-up of C19 vaccination,,,5/22/2024 3:58pm,7226851.0,Covid-19 Delivery Support Needs-Based Funding (CDS NBF) -- MISAU; UNICEF; WHO; VillageReach
Technical Assistance for Malaria Vaccine Introduction,Gavi,JSI,USD,1413164,2024,2025,No,,,,,,,,,,,,"Technical assistance and project management support for successful planning, introduction and scale-up of the malaria vaccine in Mozambique.
Introduction will begin in 22 priority districts in Zambézia. Application for scale-up will be submitted for approval in June 2024. Support is requested for high-transmission districts nation-wide",,,5/22/2024 4:36pm,1413164.0,Technical Assistance for Malaria Vaccine Introduction -- JSI
Cold-Chain Equipment Optimisation Platform (CCEOP),Gavi,UNICEF,USD,4294179,2024,2025,No,,,,,,,,,,,,,,,5/22/2024 4:38pm,4294179.0,Cold-Chain Equipment Optimisation Platform (CCEOP) -- UNICEF
"Accelerating And Strengthening The Quality Of Malaria Control Interventions In Mozambique (MOZ-M-MOH)
",Global Fund,MISAU,USD,133900000,2024,2026,No,,,,,,,,,,,,"Includes C19RM Funding
",https://data.theglobalfund.org/location/MOZ/overview,MelisaRoos.Rodrigues@theglobalfund.org,5/22/2024 11:26am,133900000.0,"Accelerating And Strengthening The Quality Of Malaria Control Interventions In Mozambique (MOZ-M-MOH)
 -- MISAU"
"Reinforcing the National HIV and TB Response in Mozambique (MOZ-C-CCS)

",Global Fund,Centro de Colaboração em Saúde (CCS),USD,78600000,2024,2026,No,,,,,,,,,,,,"Includes C19RM Funding
",https://data.theglobalfund.org/grant/MOZ-C-CCS/3/overview,MelisaRoos.Rodrigues@theglobalfund.org,5/22/2024 11:26am,78600000.0,"Reinforcing the National HIV and TB Response in Mozambique (MOZ-C-CCS)

 -- Centro de Colaboração em Saúde (CCS)"
Strengthening HIV response in communities and linkages to the public system (MOZ-H-FDC),Global Fund,Fundação para o Desenvolvimento da Comunidade (FDC),USD,79800000,2024,2026,No,,,,,,,,,,,,"Includes C19RM Funding
",https://data.theglobalfund.org/grant/MOZ-H-FDC/3/overview,MelisaRoos.Rodrigues@theglobalfund.org,5/22/2024 11:26am,79800000.0,Strengthening HIV response in communities and linkages to the public system (MOZ-H-FDC) -- Fundação para o Desenvolvimento da Comunidade (FDC)
"
Reinforcing the National HIV Response in Mozambique (MOZ-H-MOH)
",Global Fund,MISAU,USD,424700000,2024,2026,No,,,,,,,,,,,,"Includes C19RM Funding
",https://data.theglobalfund.org/grant/MOZ-H-MOH,MelisaRoos.Rodrigues@theglobalfund.org,5/22/2024 11:26am,424700000.0,"
Reinforcing the National HIV Response in Mozambique (MOZ-H-MOH)
 -- MISAU"
Reinforcing the National TB Response in Mozambique (MOZ-T-MOH),Global Fund,MISAU,USD,40200000,2024,2026,No,,,,,,,,,,,,"Includes C19RM Funding
",https://data.theglobalfund.org/grant/MOZ-T-MOH,MelisaRoos.Rodrigues@theglobalfund.org,5/22/2024 11:26am,40200000.0,Reinforcing the National TB Response in Mozambique (MOZ-T-MOH) -- MISAU
"Accelerating and Strengthening the quality of Malaria control interventions in Mozambique (MOZ-M-WV)
",Global Fund,World Vision,USD,58191211,2024,2026,No,,,,,,,,,,,,"Includes C19RM Funding

Includes additional Emergency Fund funding of US$ 791,211 : https://www.theglobalfund.org/en/news/2024/2024-05-21-commits-nearly-usd800000-emergency-funding-mass-drug-administration-idp-mozambique/
",https://data.theglobalfund.org/grant/MOZ-M-WV,MelisaRoos.Rodrigues@theglobalfund.org,5/27/2024 1:53pm,58191211.0,"Accelerating and Strengthening the quality of Malaria control interventions in Mozambique (MOZ-M-WV)
 -- World Vision"
Strengthening Health Systems And Communities Through Government-Civil Society Partnerships (MOZ-S-MOH),Global Fund,MISAU,USD,66500000,2024,2026,No,,,,,,,,,,,,"Includes C19RM Funding
",https://data.theglobalfund.org/grant/MOZ-S-MOH/1/overview,MelisaRoos.Rodrigues@theglobalfund.org,5/22/2024 11:26am,66500000.0,Strengthening Health Systems And Communities Through Government-Civil Society Partnerships (MOZ-S-MOH) -- MISAU
ProSaude,Ireland,MISAU,EUR,8000000,2023,2023,No,,,,,,,,,,,,,,Lucia.EsperancaDeDeus@dfa.ie,5/22/2024 11:33am,8374400.0,ProSaude -- MISAU
Protecting the Future,Ireland,CHAI,EUR,4000000,2022,2025,Yes,Maputo City,,,Toda a província,Toda a província,Toda a província,,,,,,,,Lucia.EsperancaDeDeus@dfa.ie,5/22/2024 11:33am,4187200.0,Protecting the Future -- CHAI
"Support for the sexual and reproductive rights of people, through reconstructive surgery",Ireland,Focus Fistula Association,EUR,325000,2022,2025,No,,,,,,,,,,,,,,Lucia.EsperancaDeDeus@dfa.ie,5/22/2024 11:30am,340210.0,"Support for the sexual and reproductive rights of people, through reconstructive surgery -- Focus Fistula Association"
Projecto e Fortalecimento do Sistema de Saúde na Província de Nampula (HD's Malema e Lalaua),Islamic Development Bank,MISAU,USD,19900000,2024,2028,Yes,,,,,,,,,,"Lalaua,Malema",,,WWW.isdb.org,dzaqueu@hotmail.com,11/26/2024 9:23am,19900000.0,Projecto e Fortalecimento do Sistema de Saúde na Província de Nampula (HD's Malema e Lalaua) -- MISAU
Strengthening the system of training institutes for health personnel and support for the development of telemedicine,Italy -AICS,University of Sassari with AISPO/CUAMM/ACAP,EUR,2950000,2023,2025,Yes,Maputo City,,,,,"Nhamatanda,Beira",,,,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am,3088060.0,Strengthening the system of training institutes for health personnel and support for the development of telemedicine -- University of Sassari with AISPO/CUAMM/ACAP
Follow the SUN - Universal Health: active communities for access to primary health care in rural areas,Italy -AICS,MMI,EUR,1455668,2023,2025,Yes,,,,"Morrumbene,Massinga,Funhalouro,Panda",,"Cheringoma,Marromeu,Caia",,,,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am,1523793.2624,Follow the SUN - Universal Health: active communities for access to primary health care in rural areas -- MMI
Support to the Development of Human Resources to the Health Sector,Italy -AICS,MISAU/DNFPS,EUR,970600,2022,2024,Yes,Maputo City,,,,,"Beira,Nhamatanda",,,,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am,1016024.08,Support to the Development of Human Resources to the Health Sector -- MISAU/DNFPS
Prevencao e controlo das doencas não trasmissiveis,Italy -AICS,CUAMM/ACAP/AIFO,EUR,4950000,2024,2026,Yes,,"Matola,Moamba,Matutuíne",,,,"Nhamatanda,Dondo,Beira",,"Quelimane,Nicoadala,Mocuba,Namacurra",,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am,5181660.0,Prevencao e controlo das doencas não trasmissiveis -- CUAMM/ACAP/AIFO
REACH - Research for Equitable Access and Continuum of care for HIV patients in remote communities,Italy -AICS,University of Brescia with MMI (Medicus Mundi Italia),EUR,250000,2023,2024,Yes,,,,"Morrumbene,Massinga,Funhalouro,Panda",,,,,,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am,261700.0,REACH - Research for Equitable Access and Continuum of care for HIV patients in remote communities -- University of Brescia with MMI (Medicus Mundi Italia)
Health without barriers. NCDs prevention and control in Mozambique,Italy -AICS,AIFO,EUR,1800000,2022,2025,Yes,Maputo City,,,,"Mossurize,Machaze",,,,"Montepuez,Ancuabe,Pemba",,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am,1884240.0,Health without barriers. NCDs prevention and control in Mozambique -- AIFO
"PROTECT - Safeguarding of paediatric health through na increased access to quality maternal and child health care services, intensive neonatal and emergency services",Italy -AICS,CUAMM,EUR,3600000,2023,2025,Yes,Maputo City,Matola,,,,Beira,,,,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:27am,3768480.0,"PROTECT - Safeguarding of paediatric health through na increased access to quality maternal and child health care services, intensive neonatal and emergency services -- CUAMM"
"E.Qu.A.S. Equity, Quality, Access to Healthcare",Italy -AICS,ACAP (Sant'Egidio),EUR,480000,2024,2025,Yes,Maputo City,Matola,,,,Beira,,Quelimane,,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am,502464.0,"E.Qu.A.S. Equity, Quality, Access to Healthcare -- ACAP (Sant'Egidio)"
"ProSaude
",Italy -AICS,"MISAU
",EUR,2000000,2023,2024,No,,,,,,,,,,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am,2093600.0,"ProSaude
 -- MISAU
"
Think InclusHIVE: expanding integrated public health services to reduce HIV and TB transmission in vulnerable populations at community level,Italy -AICS,Medicus Mundi Italia (MMI),EUR,480000,2024,2026,Yes,,,,"Funhalouro,Massinga,Morrumbene,Panda",,,,,,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am,502464.0,Think InclusHIVE: expanding integrated public health services to reduce HIV and TB transmission in vulnerable populations at community level -- Medicus Mundi Italia (MMI)
Stabilisation Support to Palma District ,Italy -AICS,UNICEF,USD,156045,2021,2024,Yes,,,,,,,,,Palma,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am,156045.0,Stabilisation Support to Palma District  -- UNICEF
Promoting SRHR,JICA,JICA,MZN,4000000,2022,2027,Yes,,,,,,,,,"Pemba,Ancuabe,Chiúre,Metuge","Moma,Monapo,Mogovolas,Meconta,Nacala-Porto,Nampula- Cidade,Muecate",,,https://www.jica.go.jp/english/overseas/mozambique/activities/index.html,SimoesVictorino.MZ@jica.go.jp,11/26/2024 9:23am,62600.0,Promoting SRHR -- JICA
Introduction of an integrated maternal and child health handbook for  improving nutrition and MCH services,JICA,JICA,MZN,165000000,2021,2025,Yes,,,"Chibuto,Bilene",,,,,,,,"Muembe,Manjune","The project will first develop a maternal and child 
health (MCH) handbook. Health workers and community health workers 
(APEs) will be trained to utilize the MCH handbook in their MCH and 
nutrition service provision at health facilities and communities. Their 
activities will be periodically monitored and supportively supervised.",https://www.jica.go.jp/english/overseas/mozambique/activities/__icsFiles/afieldfile/2023/08/01/1203157_028_1.pdf,SimoesVictorino.MZ@jica.go.jp,5/21/2024 8:53pm,2582250.0,Introduction of an integrated maternal and child health handbook for  improving nutrition and MCH services -- JICA
"Hospital Management through Capacity Building of Core
Health Personnel, thereby contributing to Improvement of Health Services Delivery",JICA,JICA,MZN,12500000,2022,2024,Yes,Maputo City,,,,,Beira,,Quelimane,,,,,https://www.jica.go.jp/english/overseas/mozambique/activities/__icsFiles/afieldfile/2023/08/01/1203157_029_1.pdf,SimoesVictorino.MZ@jica.go.jp,5/21/2024 8:54pm,195625.0,"Hospital Management through Capacity Building of Core
Health Personnel, thereby contributing to Improvement of Health Services Delivery -- JICA"
"Adviser for health human resources development to
improve the quality of specialized pre-service training courses",JICA,JICA,MZN,25051000,2023,2025,Yes,Maputo City,,,,,,,,,,,,https://www.jica.go.jp/english/overseas/mozambique/activities/index.html,SimoesVictorino.MZ@jica.go.jp,5/21/2024 8:55pm,392048.15,"Adviser for health human resources development to
improve the quality of specialized pre-service training courses -- JICA"
"Construction of new neonatology budiling for reduction
of maternal and neontal mortality",JICA,JICA,MZN,1250000000,2023,2025,Yes,Maputo City,,,,,,,,,,,,https://www.jica.go.jp/english/overseas/mozambique/activities/index.html,SimoesVictorino.MZ@jica.go.jp,5/21/2024 8:55pm,19562500.0,"Construction of new neonatology budiling for reduction
of maternal and neontal mortality -- JICA"
Improving Reproductive Maternal and Adolescent Health in Sofala,KOICA,UNFPA,USD,6580000,2021,2025,Yes,,,,,,"Beira,Dondo,Buzi,Nhamatanda",,,,,,"subpartners: DPS Sofala, MISAU, CUAMM, CAM",,masandoval@unfpa.org,5/22/2024 11:03am,6580000.0,Improving Reproductive Maternal and Adolescent Health in Sofala -- UNFPA
SRH and GBV Services for Women and Girls in Northern Mozambique,Norway,UNFPA,NOK,29702970,2022,2024,Yes,,,,,,,,,Toda a província,Toda a província,Toda a província,,,masandoval@unfpa.org,11/26/2024 9:24am,2670594.0327000003,SRH and GBV Services for Women and Girls in Northern Mozambique -- UNFPA
Polio,Rotary International,WHO,USD,4900000,2023,2024,No,,,,,,,,,,,,,,erbf@who.int,5/20/2024 9:26pm,4900000.0,Polio -- WHO
Support to SRH and GBV in the North,Spain,UNFPA,EUR,500000,2024,2025,Yes,,,,,,,,,Metuge,Meconta,,,,masandoval@unfpa.org,11/26/2024 9:24am,523400.0,Support to SRH and GBV in the North -- UNFPA
