Name of Project,Funding Partner,Implementing Partner Name ,Currency,Total Value of Project ,Year Started,Year Ending (Estimate),Did Partner specify districts?,Maputo City,Maputo Province,Gaza,Inhambane,Manica,Sofala,Tete,Zambezia,Cabo Delgado,Nampula,Niassa,Notes,URL,Contact,Last Modified
CanGIVE,Canada,UNICEF,CAD,18400000,2023,2025,Yes,Maputo City,Manhiça,,Zavala,"Chimoio,Vanduzi,Gondola,Manica,Mossurize,Sussundenga,Barue","Beira,Nhamatanda,Gorongosa,Buzi","Angonia,Tsangano","Milange,Molumbo,Gurué,Alto Molocue,Ile,Morrumbala,Mocuba,Quelimane,Namacurra,Gilé,Lugela","Montepuez,Chiúre,Namuno,Mueda,Balama,Pemba,Ancuabe,Nangade","Nampula- Cidade,Mogovolas,Lalaua,Moma,Monapo,Eráti,Memba,Angoche,Nacala-Porto,Murrupula,Nacaroa,Ribáue,Mecuburi,Meconta,Malema,Mossuril,Rapale,Mogincual,Muecate","Cuamba,Lichinga,Mandimba,N'gauma",,https://www.international.gc.ca/world-monde/issues_development-enjeux_developpement/global_health-sante_mondiale/equite_vaccinale_covid-19_vaccine_equity.aspx?lang=eng,diana.benzane@international.gc.ca,11/26/2024 9:24am
Every Girl Can,Canada,World Vision,CAD,13700000,2021,2026,Yes,,,,,,,,,,"Murrupula,Nacaroa",,,,diana.benzane@international.gc.ca,11/26/2024 9:24am
Stand Up for SRHR,Canada,Oxfam,CAD,9800000,2021,2027,No,,,,,,,,,,,,,https://w05.international.gc.ca/projectbrowser-banqueprojets/project-projet/details/p008437001,diana.benzane@international.gc.ca,5/27/2024 5:09pm
Sexual Health and Reproductive Education: SHARE,Canada,"Right to Play, WaterAid, FHI360
",CAD,11700000,2021,2026,No,,,,,,,,,,,,,https://w05.international.gc.ca/projectbrowser-banqueprojets/project-projet/details/p008431001,diana.benzane@international.gc.ca,5/27/2024 5:09pm
ACT-A-HAC,Canada,UNICEF,USD,9134193,,2025,No,,,,,,,,,,,,,,trish.chang@international.gc.ca,5/27/2024 5:09pm
Humanitarian SRH Assistance in Sub Saharan Africa,Canada,UNFPA,CAD,600000,2024,2026,Yes,,,,,,Toda a província,,,Toda a província,Toda a província,,,,masandoval@unfpa.org,11/26/2024 9:24am
Health Systems Strengthening and UHC,European Commission,WHO,USD,91000,2019,2024,No,,,,,,,,,,,,,,erbf@who.int,5/27/2024 5:09pm
Nutrition,European Commission,UNICEF,USD,3592093,,2025,Yes,,,,,,"Buzi,Caia,Nhamatanda,Dondo",,,,,,,,hmuhammad@unicef.org,5/22/2024 11:25am
"My Decision, My Future (Fistula, GBV, Youth)",Finland,UNFPA,EUR,6200000,2024,2026,Yes,,,,,,,,,Toda a província,Toda a província,Toda a província,,,masandoval@unfpa.org,11/26/2024 9:24am
Tsogola Tsicana (Go Girl),Flanders,ADPP,EUR,1499162,2023,2027,Yes,,,,,,,"Tete,Changara,Moatize",,,,,,,mauricete.ruco@flanders.eu,5/22/2024 11:25am
Health System Strengthening - ITM Support to SPS Tete,Flanders,ITM (Institute of Tropical Medicine Antwerp),EUR,750000,2022,2026,Yes,,,,,,,Toda a província,,,,,,,mauricete.ruco@flanders.eu,5/22/2024 11:25am
"Happy women and happy Babies - Integrated and inclusive access to sexual and reproductive health and rights for women and girls, mothers and their babies",Flanders,ICRH-M,EUR,1500000,2023,2026,Yes,,,,,,,"Marávia,Zumbo",,,,,,,mauricete.ruco@flanders.eu,5/22/2024 11:25am
Health System Strengthening in Tete Province,Flanders,SPS Tete - Direct Support,EUR,249000,2022,2024,Yes,,,,,,,Toda a província,,,,,,,mauricete.ruco@flanders.eu,5/22/2024 11:25am
Protecting the Future: Health & Resilience Initiative,Flanders,CHAI,EUR,1495027,2023,2027,Yes,,,,,,,"Tete,Changara,Moatize",,,,,,,mauricete.ruco@flanders.eu,5/22/2024 11:25am
Healthy and resilient communities: improving access to quality patient-centred SRHRs with a focus on the most vulnerable groups in Tete Province,Flanders,CUAMM,EUR,1500000,2023,2026,Yes,,,,,,,"Angonia,Mutarara,Tete",,,,,,,mauricete.ruco@flanders.eu,5/22/2024 11:25am
Midwifery Workforce Strengthening,Flanders,UNFPA,EUR,1327413,2022,2026,Yes,Maputo City,Toda a província,,,,,,,,,,"Sub partner:  ICS Infulene, MISAU",,masandoval@unfpa.org,5/22/2024 11:16am
Construção e equipamento de 5 Hospitais Distritais em Diferentes Regiões ,Fundo Saudita para o Desenvolvimento,"MISAU
",USD,50000000,2024,2028,Yes,,,Limpopo,,Vanduzi,,,Molumbo,,Ribáue,Chimbonila,https://www.sfd.gov.sa/en/n633,https://www.diarioeconomico.co.mz/2024/02/16/economia/desenvolvimento/mocambique-aprova-acordos-de-150-m-financiados-pelo-fundo-saudita/,dzaqueu@hotmail.com,11/26/2024 9:23am
HPV,Gavi,WHO,USD,133000,2023,2025,No,,,,,,,,,,,,,,erbf@who.int,5/20/2024 9:26pm
Health Systems Strengthening (HSS2),Gavi,MISAU; INS; UNICEF,USD,30980198,2021,2025,Yes,,"Manhiça,Matola",Limpopo,Massinga,"Chimoio,Barue,Manica,Vanduzi,Mossurize,Gondola","Gorongosa,Maringué,Caia,Marromeu,Nhamatanda","Tete,Tsangano,Angonia,Macanga,Marávia,Doa,Chiuta","Quelimane,Gilé,Gurué,Lugela,Milange,Morrumbala,Derre,Alto Molocue,Inhassunge,Nicoadala,Ile","Chiúre,Mueda,Balama,Macomia,Montepuez,Namuno,Ancuabe","Memba,Mogincual,Monapo,Muecate,Nacala-Porto,Eráti,Malema,Moma,Ribáue,Liupo,Lalaua,Meconta,Nacala-a-Velha,Nacaroa,Murrupula","Cuamba,Mandimba,Mecanhelas,N'gauma,Chimbonila,Metarica","HSS 2 support has 3 main strategic objectives:
1. Ensure functioning of the supply chain to ensure vaccines are available on time at all levels; Cold chain optimisation
2. Establish effective leadership and management
3. Reduce the incidence of Vaccine Preventable Diseases through consistently good quality immunisation services; creating demand to reach coverage targets

Support is concentrated in 63 priority districts",,,11/26/2024 9:23am
Targeted Country Assistance (TCA),Gavi,UNICEF; WHO; Acasus; VillageReach; JSI; CHAI; Zenysis; Saudigitus; JHPiego,USD,4270193,2022,2025,No,,,,,,,,,,,,Technical assistance for EPI to support HSS objectives,,,5/22/2024 3:39pm
Covid-19 Delivery Support Third Window (CDS3),Gavi,MISAU; UNICEF; WHO; Acasus; JSI; VillageReach; Zenysis; Saudigitus,USD,12400000,2023,2025,No,,,,,,,,,,,,"CDS3 objectives:
1. To support acceleration of C19 vaccination of high & highest risk populations
2. To support rapid delivery scale-up to reach country targets for adult vaccination
3. To support integration of C19 and Routine Immunisation to achieve sustainable benefits",,,5/22/2024 3:44pm
Covid-19 Delivery Support Early Access Window (CDS EAW),Gavi,MISAU; UNICEF; WHO; VilageReach; Acasus,USD,3422310,2021,2023,No,,,,,,,,,,,,Funding for priority activities essential for immediate vaccine deployment and scale-up preparations for C19,,,5/22/2024 3:48pm
Covid-19 Delivery Support Needs-Based Funding (CDS NBF),Gavi,MISAU; UNICEF; WHO; VillageReach,USD,7226851,2022,2023,No,,,,,,,,,,,,Needs-based funding for scale-up of C19 vaccination,,,5/22/2024 3:58pm
Technical Assistance for Malaria Vaccine Introduction,Gavi,JSI,USD,1413164,2024,2025,No,,,,,,,,,,,,"Technical assistance and project management support for successful planning, introduction and scale-up of the malaria vaccine in Mozambique.
Introduction will begin in 22 priority districts in Zambézia. Application for scale-up will be submitted for approval in June 2024. Support is requested for high-transmission districts nation-wide",,,5/22/2024 4:36pm
Cold-Chain Equipment Optimisation Platform (CCEOP),Gavi,UNICEF,USD,4294179,2024,2025,No,,,,,,,,,,,,,,,5/22/2024 4:38pm
"Accelerating And Strengthening The Quality Of Malaria Control Interventions In Mozambique (MOZ-M-MOH)
",Global Fund,MISAU,USD,133900000,2024,2026,No,,,,,,,,,,,,"Includes C19RM Funding
",https://data.theglobalfund.org/location/MOZ/overview,MelisaRoos.Rodrigues@theglobalfund.org,5/22/2024 11:26am
"Reinforcing the National HIV and TB Response in Mozambique (MOZ-C-CCS)

",Global Fund,Centro de Colaboração em Saúde (CCS),USD,78600000,2024,2026,No,,,,,,,,,,,,"Includes C19RM Funding
",https://data.theglobalfund.org/grant/MOZ-C-CCS/3/overview,MelisaRoos.Rodrigues@theglobalfund.org,5/22/2024 11:26am
Strengthening HIV response in communities and linkages to the public system (MOZ-H-FDC),Global Fund,Fundação para o Desenvolvimento da Comunidade (FDC),USD,79800000,2024,2026,No,,,,,,,,,,,,"Includes C19RM Funding
",https://data.theglobalfund.org/grant/MOZ-H-FDC/3/overview,MelisaRoos.Rodrigues@theglobalfund.org,5/22/2024 11:26am
"
Reinforcing the National HIV Response in Mozambique (MOZ-H-MOH)
",Global Fund,MISAU,USD,424700000,2024,2026,No,,,,,,,,,,,,"Includes C19RM Funding
",https://data.theglobalfund.org/grant/MOZ-H-MOH,MelisaRoos.Rodrigues@theglobalfund.org,5/22/2024 11:26am
Reinforcing the National TB Response in Mozambique (MOZ-T-MOH),Global Fund,MISAU,USD,40200000,2024,2026,No,,,,,,,,,,,,"Includes C19RM Funding
",https://data.theglobalfund.org/grant/MOZ-T-MOH,MelisaRoos.Rodrigues@theglobalfund.org,5/22/2024 11:26am
"Accelerating and Strengthening the quality of Malaria control interventions in Mozambique (MOZ-M-WV)
",Global Fund,World Vision,USD,58191211,2024,2026,No,,,,,,,,,,,,"Includes C19RM Funding

Includes additional Emergency Fund funding of US$ 791,211 : https://www.theglobalfund.org/en/news/2024/2024-05-21-commits-nearly-usd800000-emergency-funding-mass-drug-administration-idp-mozambique/
",https://data.theglobalfund.org/grant/MOZ-M-WV,MelisaRoos.Rodrigues@theglobalfund.org,5/27/2024 1:53pm
Strengthening Health Systems And Communities Through Government-Civil Society Partnerships (MOZ-S-MOH),Global Fund,MISAU,USD,66500000,2024,2026,No,,,,,,,,,,,,"Includes C19RM Funding
",https://data.theglobalfund.org/grant/MOZ-S-MOH/1/overview,MelisaRoos.Rodrigues@theglobalfund.org,5/22/2024 11:26am
ProSaude,Ireland,MISAU,EUR,8000000,2023,2023,No,,,,,,,,,,,,,,Lucia.EsperancaDeDeus@dfa.ie,5/22/2024 11:33am
Protecting the Future,Ireland,CHAI,EUR,4000000,2022,2025,Yes,Maputo City,,,Toda a província,Toda a província,Toda a província,,,,,,,,Lucia.EsperancaDeDeus@dfa.ie,5/22/2024 11:33am
"Support for the sexual and reproductive rights of people, through reconstructive surgery",Ireland,Focus Fistula Association,EUR,325000,2022,2025,No,,,,,,,,,,,,,,Lucia.EsperancaDeDeus@dfa.ie,5/22/2024 11:30am
Projecto e Fortalecimento do Sistema de Saúde na Província de Nampula (HD's Malema e Lalaua),Islamic Development Bank,MISAU,USD,19900000,2024,2028,Yes,,,,,,,,,,"Lalaua,Malema",,,WWW.isdb.org,dzaqueu@hotmail.com,11/26/2024 9:23am
Strengthening the system of training institutes for health personnel and support for the development of telemedicine,Italy -AICS,University of Sassari with AISPO/CUAMM/ACAP,EUR,2950000,2023,2025,Yes,Maputo City,,,,,"Nhamatanda,Beira",,,,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am
Follow the SUN - Universal Health: active communities for access to primary health care in rural areas,Italy -AICS,MMI,EUR,1455668,2023,2025,Yes,,,,"Morrumbene,Massinga,Funhalouro,Panda",,"Cheringoma,Marromeu,Caia",,,,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am
Support to the Development of Human Resources to the Health Sector,Italy -AICS,MISAU/DNFPS,EUR,970600,2022,2024,Yes,Maputo City,,,,,"Beira,Nhamatanda",,,,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am
Prevencao e controlo das doencas não trasmissiveis,Italy -AICS,CUAMM/ACAP/AIFO,EUR,4950000,2024,2026,Yes,,"Matola,Moamba,Matutuíne",,,,"Nhamatanda,Dondo,Beira",,"Quelimane,Nicoadala,Mocuba,Namacurra",,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am
REACH - Research for Equitable Access and Continuum of care for HIV patients in remote communities,Italy -AICS,University of Brescia with MMI (Medicus Mundi Italia),EUR,250000,2023,2024,Yes,,,,"Morrumbene,Massinga,Funhalouro,Panda",,,,,,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am
Health without barriers. NCDs prevention and control in Mozambique,Italy -AICS,AIFO,EUR,1800000,2022,2025,Yes,Maputo City,,,,"Mossurize,Machaze",,,,"Montepuez,Ancuabe,Pemba",,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am
"PROTECT - Safeguarding of paediatric health through na increased access to quality maternal and child health care services, intensive neonatal and emergency services",Italy -AICS,CUAMM,EUR,3600000,2023,2025,Yes,Maputo City,Matola,,,,Beira,,,,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:27am
"E.Qu.A.S. Equity, Quality, Access to Healthcare",Italy -AICS,ACAP (Sant'Egidio),EUR,480000,2024,2025,Yes,Maputo City,Matola,,,,Beira,,Quelimane,,,,,NA,laura.porcellato@aics.gov.it,5/22/2024 11:26am
"ProSaude
",Italy -AICS,"MISAU
",EUR,2000000,2023,2024,No,,,,,,,,,,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am
Think InclusHIVE: expanding integrated public health services to reduce HIV and TB transmission in vulnerable populations at community level,Italy -AICS,Medicus Mundi Italia (MMI),EUR,480000,2024,2026,Yes,,,,"Funhalouro,Massinga,Morrumbene,Panda",,,,,,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am
Stabilisation Support to Palma District ,Italy -AICS,UNICEF,USD,156045,,2024,Yes,,,,,,,,,Palma,,,,,laura.porcellato@aics.gov.it,5/22/2024 11:26am
Promoting SRHR,JICA,JICA,MZN,4000000,2022,2027,Yes,,,,,,,,,"Pemba,Ancuabe,Chiúre,Metuge","Moma,Monapo,Mogovolas,Meconta,Nacala-Porto,Nampula- Cidade,Muecate",,,https://www.jica.go.jp/english/overseas/mozambique/activities/index.html,SimoesVictorino.MZ@jica.go.jp,11/26/2024 9:23am
Introduction of an integrated maternal and child health handbook for  improving nutrition and MCH services,JICA,JICA,MZN,165000000,2021,2025,Yes,,,"Chibuto,Bilene",,,,,,,,"Muembe,Manjune","The project will first develop a maternal and child 
health (MCH) handbook. Health workers and community health workers 
(APEs) will be trained to utilize the MCH handbook in their MCH and 
nutrition service provision at health facilities and communities. Their 
activities will be periodically monitored and supportively supervised.",https://www.jica.go.jp/english/overseas/mozambique/activities/__icsFiles/afieldfile/2023/08/01/1203157_028_1.pdf,SimoesVictorino.MZ@jica.go.jp,5/21/2024 8:53pm
"Hospital Management through Capacity Building of Core
Health Personnel, thereby contributing to Improvement of Health Services Delivery",JICA,JICA,MZN,12500000,2022,2024,Yes,Maputo City,,,,,Beira,,Quelimane,,,,,https://www.jica.go.jp/english/overseas/mozambique/activities/__icsFiles/afieldfile/2023/08/01/1203157_029_1.pdf,SimoesVictorino.MZ@jica.go.jp,5/21/2024 8:54pm
"Adviser for health human resources development to
improve the quality of specialized pre-service training courses",JICA,JICA,MZN,25051000,2023,2025,Yes,Maputo City,,,,,,,,,,,,https://www.jica.go.jp/english/overseas/mozambique/activities/index.html,SimoesVictorino.MZ@jica.go.jp,5/21/2024 8:55pm
"Construction of new neonatology budiling for reduction
of maternal and neontal mortality",JICA,JICA,MZN,1250000000,2023,2025,Yes,Maputo City,,,,,,,,,,,,https://www.jica.go.jp/english/overseas/mozambique/activities/index.html,SimoesVictorino.MZ@jica.go.jp,5/21/2024 8:55pm
Improving Reproductive Maternal and Adolescent Health in Sofala,KOICA,UNFPA,USD,6580000,2021,2025,Yes,,,,,,"Beira,Dondo,Buzi,Nhamatanda",,,,,,"subpartners: DPS Sofala, MISAU, CUAMM, CAM",,masandoval@unfpa.org,5/22/2024 11:03am
SRH and GBV Services for Women and Girls in Northern Mozambique,Norway,UNFPA,NOK,29702970,2022,2024,Yes,,,,,,,,,Toda a província,Toda a província,Toda a província,,,masandoval@unfpa.org,11/26/2024 9:24am
Polio,Rotary International,WHO,USD,4900000,2023,2024,No,,,,,,,,,,,,,,erbf@who.int,5/20/2024 9:26pm
Support to SRH and GBV in the North,Spain,UNFPA,EUR,500000,2024,2025,Yes,,,,,,,,,Metuge,Meconta,,,,masandoval@unfpa.org,11/26/2024 9:24am
Strengthening the Mozambican National Health System to cope with the COVID-19 health crisis by strengthening essential health services especially under pressure during the pandemic.,Spain,MISAU,EUR,500000,2022,2024,No,,,,,,,,,,,,,,,5/22/2024 12:00pm
Supporting health research capacities in Mozambique to provide the National Health System with scientific evidence to inform and guide public health decisions.,Spain,Fundaçao Manhiça (FM/CISM),EUR,2250000,2022,2024,Yes,,Manhiça,,,,,,,,,,,,,5/22/2024 12:07pm
"Improving the quality, coverage and resilience of Cabo Delgado's health care system",Spain,Medicus Mundi España (FAMME),EUR,3000000,2023,2026,Yes,,,,,,,,,Toda a província,,,,,,5/22/2024 12:11pm
ProSaude,Spain,MISAU,EUR,800000,2023,2024,No,,,,,,,,,,,,,,,5/22/2024 12:15pm
Strengthening the capacities of the Mozambican National Health System for the training of medical specialists within the framework of the PFME.,Spain,"SPANISH FOUNDATION FOR INTERNATIONAL COOPERATION, HEALTH AND SOCIAL AFFAIRS (FCSAI)",EUR,508900,2023,2025,No,,,,,,,,,,,,,,,5/22/2024 12:21pm
Expandindo o acesso das mulheres e raparigas aos Servicos de Aborto Seguro e de Contracepcao em Mocambique!,Sweden,Ipas Mocambique,SEK,190000000,2023,2027,Yes,Maputo City,,,,,Toda a província,,Toda a província,Toda a província,Toda a província,Toda a província,,,luisa.fumo@gov.se,11/26/2024 9:22am
4 SRHR (Comprehensive Abortion Care),UNFPA HQ/Regional,UNFPA,USD,250000,2024,2025,No,,,,,,,,,,,,,,masandoval@unfpa.org,5/22/2024 11:06am
Maternal Health Trust Fund (including Fistula),UNFPA HQ/Regional,UNFPA,USD,800000,2022,2025,No,,,,,,,,,,,,"Total value is an estimate
Allocation is done annually by UNFPA HQ (calendar year)
Implementing partner is MISAU",,masandoval@unfpa.org,5/22/2024 11:03am
UNFPA Supplies,UNFPA HQ/Regional,UNFPA,USD,3600000,2024,2025,No,,,,,,,,,,,,,https://www.unfpa.org/unfpa-supplies-partnership,masandoval@unfpa.org,5/22/2024 11:06am
Accelerating global focus on NCDs and PEN Plus country programs,UNICEF HQ/Thematic Funds/NatComs),UNICEF,USD,86735,,2025,Yes,,,,,,Nhamatanda,,,,,,,,hmuhammad@unicef.org,5/22/2024 11:24am
Enabling and Enhancing Early Childhood Development,UNICEF HQ/Thematic Funds/NatComs),UNICEF,USD,155948,,2026,No,,,,,,,,,,,,,,hmuhammad@unicef.org,5/22/2024 11:24am
HIV and AIDS Thematic Fund,UNICEF HQ/Thematic Funds/NatComs),UNICEF,USD,365870,,2026,No,,,,,,,,,,,,,,hmuhammad@unicef.org,5/22/2024 11:24am
Nutrition,UNICEF HQ/Thematic Funds/NatComs),UNICEF,USD,846000,,2026,No,,,,,,,,,,,,,,hmuhammad@unicef.org,5/22/2024 11:24am
Surge Polio,UNICEF HQ/Thematic Funds/NatComs),UNICEF,USD,2754189,,2025,No,,,,,,,,,,,,,,hmuhammad@unicef.org,5/22/2024 11:24am
Malaria,UNITAID,WHO,USD,42000,2023,2025,No,,,,,,,,,,,,,,erbf@who.int,5/20/2024 9:26pm
Triggering the Demographic Transition Programme,United Kingdom - FCDO,UNFPA,GBP,8192586,2021,2024,No,,,,,,,,,,,,,,masandoval@unfpa.org,5/22/2024 11:00am
WHO FCTC - Framework Convention on Tobacco Control,United Kingdom - FCDO,WHO,GBP,60000,2022,2025,No,,,,,,,,,,,,,,erbf@who.int,5/20/2024 9:26pm
Increased Use of Family Planning Methods,United Kingdom - FCDO,UNFPA,GBP,4000000,2021,2025,Yes,Maputo City,Toda a província,,,,,,"Morrumbala,Mocuba,Pebane,Nicoadala",,"Malema,Eráti,Nacala-Porto,Meconta",,"sub-partners: MISAU, DPS/SPS Zambezia, DPS/SPS Nampula, FDC, PSI",,masandoval@unfpa.org,11/26/2024 9:24am
"Scaling High Quality Laboratory Services for HIV Diagnosis, Care, Treatment and Monitoring ","US CDC,PEPFAR",APHL,USD,11530544,2019,2024,Yes,Maputo City,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,,,SSalo@cdc.gov,11/26/2024 9:19am
G2G Gaza,"US CDC,PEPFAR",SPS Gaza Province,USD,3462971,2019,2024,Yes,,,Toda a província,,,,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm
Implementing innovative activities to epidemic control - Community,"US CDC,PEPFAR",Namati ,USD,6225000,2023,2028,Yes,Maputo City,Toda a província,Toda a província,Toda a província,,,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm
Advancing sustainable implementation of comprehensive HIV/TB services,"US CDC,PEPFAR",CCS ,USD,91752033,2021,2026,Yes,Maputo City,,,,,,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm
G2G Inhambane,"US CDC,PEPFAR",SPS Inhambane,USD,3844330,2022,2027,Yes,,,,Toda a província,,,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm
G2G Nampula,"US CDC,PEPFAR",SPS Nampula,USD,3417627,2021,2026,Yes,,,,,,,,,,Toda a província,,,,SSalo@cdc.gov,11/26/2024 9:24am
Advancing sustainable implementation of comprehensive HIV/TB services,"US CDC,PEPFAR",Univ of Washington/ITECH,USD,15649373,2021,2026,Yes,Maputo City,,,,,,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm
G2G National Institute of Health,"US CDC,PEPFAR",INS,USD,16483110,2023,2028,Yes,Maputo City,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,,,SSalo@cdc.gov,11/26/2024 9:22am
G2G Cabo Delgado,"US CDC,PEPFAR",SPS Cabo Delgado,USD,7728760,2020,2025,Yes,,,,,,,,,Toda a província,,,,,SSalo@cdc.gov,5/28/2024 2:59pm
VMMC,"US CDC,PEPFAR",JHPIEGO,USD,23038595,2021,2026,Yes,,,Toda a província,,,Toda a província,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm
